Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
icsa-24-046-11_chunk_13.txt,256,,to escalate privileges,Privacy & Use policy,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,7,CISA at this,"6, 2021","6, 2021",users,vulnerability has been reported to CISA at this time.,resources,resources,as the value of the X-Forwarded-For header,affect applications which have implemented their own functionality for retrieving CRLs over a network,as the value of the X-Forwarded-For header,affect applications which have implemented their own functionality for retrieving CRLs over a network
aa21-356a_chunk_10.txt,256,,compromise that may indicate exploitation,compromise that may indicate exploitation,compromise that may indicate exploitation,compromise that may indicate exploitation,4j is up,4j is up,4j is up,4j is up,vulnerabilities in,vulnerabilities in,vulnerabilities in,vulnerabilities in,TRUE,TRUE,TRUE,TRUE
aa23-263a_chunk_13.txt,256,,DataBreaches,DataBreaches,DataBreaches,DataBreaches,844-Say-CISA (1,844-Say-CISA (1,844-Say-CISA (1,844-Say-CISA (1,subjects of analysis.,subjects of analysis.,subjects of analysis.,subjects of analysis.,"FBI is seeking any information that can be shared, to include boundary logs showing communication to and from IP addresses, a sample ransom note, communications with Snatch threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","FBI is seeking any information that can be shared, to include boundary logs showing communication to and from IP addresses, a sample ransom note, communications with Snatch threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","FBI is seeking any information that can be shared, to include boundary logs showing communication to and from IP addresses, a sample ransom note, communications with Snatch threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","FBI is seeking any information that can be shared, to include boundary logs showing communication to and from IP addresses, a sample ransom note, communications with Snatch threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file"
aa24-109a_chunk_13.txt,256,,Internet Crime Complain Center,Internet Crime Complain Center,Internet Crime Complain Center,Internet Crime Complain Center,EC3,EC3,EC3,EC3,24/7 Operations Center (report,24/7 Operations Center (report,24/7 Operations Center (report,24/7 Operations Center (report,"The FBI is interested in any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with Akira threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","The FBI is interested in any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with Akira threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","The FBI is interested in any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with Akira threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file","The FBI is interested in any information that can be shared, to include boundary logs showing communication to and from foreign IP addresses, a sample ransom note, communications with Akira threat actors, Bitcoin wallet information, decryptor files, and/or a benign sample of an encrypted file"
aa22-117a_chunk_11.txt,256,,Privacy & Use policy,Privacy & Use policy,Privacy & Use policy,contribute any additional information that they may have related to this threat,advisories. Canadian organizations,CISA at this,advisories. Canadian organizations,.g,This,vulnerability has been reported to CISA at this time.,This,Economic Aggression Threatens,Microsoft Security Update Guide: Microsoft Office/WordPad Remote Code Execution Vulnerability w/Windows,"to assist in the protection of sensitive intellectual property, economic, political, and military information","to assist in the protection of sensitive intellectual property, economic, political, and military information","to assist in the protection of sensitive intellectual property, economic, political, and military information"
ar23-074a_chunk_1.txt,256,,Detect portable executable file that deletes,extortion of the organization,memory leak,memory leak,XEReverseShell[.]exe,"enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,7.8 has been assigned,executable file that deletes,information on network shares,The manipulation leads to use,The manipulation leads to use,Detect portable executable file that deletes .dll files,"POWERSTATS This group is also known to use the POWERSTATS backdoor, which runs PowerShell scripts to maintain persistent access to the victim systems",Detect portable executable file that deletes .dll files,Detect portable executable file that deletes .dll files
icsa-24-074-07_chunk_46.txt,256,,local escalation of privilege,local escalation of privilege,local escalation of privilege,local escalation of privilege,calculated; the CVSS vector string is,calculated; the CVSS vector string is,calculated; the CVSS vector string is,calculated; the CVSS vector string is,additional execution privileges needed. User,additional execution privileges needed. User,additional execution privileges needed. User,additional execution privileges needed. User,"3.2.151 OUT-OF-BOUNDS WRITE CWE-787 In avct_lcb_msg_asmbl of bnep_api.cc, there is a possible out-of-bounds read due to an incorrect bounds check","3.2.151 OUT-OF-BOUNDS WRITE CWE-787 In avct_lcb_msg_asmbl of bnep_api.cc, there is a possible out-of-bounds read due to an incorrect bounds check","3.2.151 OUT-OF-BOUNDS WRITE CWE-787 In avct_lcb_msg_asmbl of bnep_api.cc, there is a possible out-of-bounds read due to an incorrect bounds check","3.2.151 OUT-OF-BOUNDS WRITE CWE-787 In avct_lcb_msg_asmbl of bnep_api.cc, there is a possible out-of-bounds read due to an incorrect bounds check"
aa22-277a_chunk_10.txt,256,,Audit accounts and permissions,Audit accounts and permissions,Audit accounts and permissions,Audit accounts and permissions,.g,.g,.g,.g,practices,practices,practices,practices,Create signatures based on the threat actor TTPs and use these signatures to monitor security logs for any signs of threat actor re-entry,Create signatures based on the threat actor TTPs and use these signatures to monitor security logs for any signs of threat actor re-entry,Create signatures based on the threat actor TTPs and use these signatures to monitor security logs for any signs of threat actor re-entry,Create signatures based on the threat actor TTPs and use these signatures to monitor security logs for any signs of threat actor re-entry
aa20-352a_chunk_18.txt,256,,Compromise Multiple Global Victims With SUNBURST Backdoor,182.54.217,The manipulation leads to use after free,The manipulation leads to use after free,12.75[.]112 Resolves,54.217[.]2 and removed mde.ps,7.8 has been assigned,7.8 has been assigned,Ways to Apply the Cyber Kill Chain with a Threat,software and associated configuration files,The manipulation leads to use,The manipulation leads to use,a downloadable STIX file of the upcoming 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWinds' 'SolarWin,may indicate the presence of an Iranian malicious cyber actor,FALSE,FALSE
aa23-319a_chunk_11.txt,256,,transcription logging enabled,transcription logging enabled,transcription logging enabled,transcription logging enabled,e.g,e.g,e.g,e.g,"software, including allowlisting remote access programs. Application controls should prevent","software, including allowlisting remote access programs. Application controls should prevent","software, including allowlisting remote access programs. Application controls should prevent","software, including allowlisting remote access programs. Application controls should prevent","PowerShell logs contain valuable data, including historical operating system and registry interaction and possible TTPs of a threat actor’s PowerShell use",cyber threat actor’s PowerShell use,"PowerShell logs contain valuable data, including historical operating system and registry interaction and possible TTPs of a threat actor’s PowerShell use","PowerShell logs contain valuable data, including historical operating system and registry interaction and possible TTPs of a threat actor’s PowerShell use"
aa22-320a_chunk_9.txt,256,,to block RDP traffic between network security zones within a network,to block RDP traffic between network security zones within a network,to block RDP traffic between network security zones within a network,to block RDP traffic between network security zones within a network,.g,.g,.g,.g,tools to the,tools to the,tools to the,tools to the,Mitigation: Do not leave RDP accessible from the internet,Mitigation: Do not leave RDP accessible from the internet,Mitigation: Do not leave RDP accessible from the internet,Mitigation: Do not leave RDP accessible from the internet
aa23-187a_chunk_16.txt,256,,"Keep all operating systems, software, and firmware up to date","Keep all operating systems, software, and firmware up to date","Keep all operating systems, software, and firmware up to date","Keep all operating systems, software, and firmware up to date",.g,.g,.g,.g,software. Require,software. Require,software. Require,software. Require,TRUE,TRUE,TRUE,TRUE
home-network-security_chunk_12.txt,256,,Disable Universal Plug and Play (UPnP) when not needed,Disable Universal Plug and Play (UPnP) when not needed,Disable Universal Plug and Play (UPnP) when not needed,Disable Universal Plug and Play (UPnP) when not needed,"UPnP to bypass your router’s firewall, allow attackers","UPnP to bypass your router’s firewall, allow attackers","UPnP to bypass your router’s firewall, allow attackers","UPnP to bypass your router’s firewall, allow attackers",vulnerabilities. Note: some routers have the option to turn on automatic updates,vulnerabilities. Note: some routers have the option to turn on automatic updates,vulnerabilities. Note: some routers have the option to turn on automatic updates,vulnerabilities. Note: some routers have the option to turn on automatic updates,"UPnP feature eases initial network configuration, it is also a security risk","UPnP feature eases initial network configuration, it is also a security risk","UPnP feature eases initial network configuration, it is also a security risk","UPnP feature eases initial network configuration, it is also a security risk"
aa21-008a_chunk_7.txt,256,,Without Sentinel,compromising the SAML signing certificate using their escalated Active Directory privileges,compromising the SAML signing certificate using their escalated Active Directory privileges,compromising the SAML signing certificate using their escalated Active Directory privileges,.g,"6, 2021","6, 2021","6, 2021","future, not past, activity), as it",resources,resources,resources,TRUE,TRUE,TRUE,TRUE
aa24-038a_chunk_6.txt,256,,to maintain persistence,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,exfiltrate data—is consistent,"6, 2021","6, 2021","6, 2021",instances where they,resources,resources,resources,to achieve and maintain persistence on the network,to achieve and maintain persistence on the network,to achieve and maintain persistence on the network,to achieve and maintain persistence on the network
aa20-301a_chunk_9.txt,256,,to connect to TeamViewer Client,to connect to TeamViewer Client,to connect to TeamViewer Client,to connect to TeamViewer Client,MD5 hash or a randomly generated 117,MD5 hash or a randomly generated 117,MD5 hash or a randomly generated 117,MD5 hash or a randomly generated 117,"information, not to disrupt computer networks. Kimsuky’s","information, not to disrupt computer networks. Kimsuky’s","information, not to disrupt computer networks. Kimsuky’s","information, not to disrupt computer networks. Kimsuky’s",The SecurityPasswordAES Registry value represents a hash of the password used by a remote user to connect to TeamViewer Client,The SecurityPasswordAES Registry value represents a hash of the password used by a remote user to connect to TeamViewer Client,The SecurityPasswordAES Registry value represents a hash of the password used by a remote user to connect to TeamViewer Client,The SecurityPasswordAES Registry value represents a hash of the password used by a remote user to connect to TeamViewer Client
icsa-23-166-11_chunk_4.txt,256,,to prevent command injection,extortion of the organization,The manipulation leads to use after free,The manipulation leads to use after free,2022-1292,"enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,7.8 has been assigned,"systems, an",information on network shares [T1039] that,The manipulation leads to use,The manipulation leads to use,Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool,retrieving CRLs over a network,Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool,retrieving CRLs over a network
aa23-059a_chunk_3.txt,256,,open-source AD reconnaissance tool,open-source AD reconnaissance tool,open-source AD reconnaissance tool,open-source AD reconnaissance tool,"1018], groups [T1069","1018], groups [T1069","1018], groups [T1069","1018], groups [T1069",Hosts,Hosts,Hosts,Hosts,query and scrape AD information,query and scrape AD information,query and scrape AD information,query and scrape AD information
ar21-134a_chunk_10.txt,256,,publicly available or open-source tools,publicly available or open-source tools,publicly available or open-source tools,publicly available or open-source tools,21-008A,21-008A,21-008A,21-008A,completed each task. Have the endpoints that,completed each task. Have the endpoints that,completed each task. Have the endpoints that,completed each task. Have the endpoints that,TRUE,TRUE,TRUE,TRUE
aa21-008a_chunk_11.txt,256,,M365/Azure AD,tokens and certificates,tokens and certificates,tokens and certificates,"part of its investigation, Sparrow homes in","6, 2021","6, 2021","6, 2021","configurations, federation trusts, mail forwarding rules, service principals, and objects",resources,resources,resources,common to the recent attacks,common to the recent attacks,common to the recent attacks,common to the recent attacks
ar23-243a_chunk_4.txt,256,,dropbear,dropbear,dropbear,dropbear,mkflag. dropbear has been modified,mkflag. dropbear has been modified,mkflag. dropbear has been modified,mkflag. dropbear has been modified,"functionality of netd, while allowing the","functionality of netd, while allowing the","functionality of netd, while allowing the","functionality of netd, while allowing the",Mutli-call binaries,Mutli-call binaries,Mutli-call binaries,Mutli-call binaries
icsa-24-074-07_chunk_13.txt,256,,possible memory corruption,possible memory corruption,possible memory corruption,possible memory corruption,Product: Android Versions: Android-8,Product: Android Versions: Android-8,Product: Android Versions: Android-8,Product: Android Versions: Android-8,User,User,User,User,3.2.42 IMPROPER RESTRICTION OF RENDERED UI LAYERS OR FRAMES CWE-1021,3.2.42 IMPROPER RESTRICTION OF RENDERED UI LAYERS OR FRAMES CWE-1021,3.2.42 IMPROPER RESTRICTION OF RENDERED UI LAYERS OR FRAMES CWE-1021,3.2.42 IMPROPER RESTRICTION OF RENDERED UI LAYERS OR FRAMES CWE-1021
home-network-security_chunk_1.txt,256,,Use strong and unique passwords. Choose strong passwords,Use strong and unique passwords. Choose strong passwords,Use strong and unique passwords. Choose strong passwords,Use strong and unique passwords. Choose strong passwords,number of trial software and applications—referred,number of trial software and applications—referred,number of trial software and applications—referred,number of trial software and applications—referred,"software, and cause other problems","software, and cause other problems","software, and cause other problems","software, and cause other problems",Users should take steps to harden the default configuration parameters to reduce vulnerabilities and protect against intrusions,Users should take steps to harden the default configuration parameters to reduce vulnerabilities and protect against intrusions,Users should take steps to harden the default configuration parameters to reduce vulnerabilities and protect against intrusions,Users should take steps to harden the default configuration parameters to reduce vulnerabilities and protect against intrusions
icsa-23-222-07_chunk_5.txt,256,,prior to V2.9.7,prior to V2.9.7,prior to V2.9.7,prior to V2.9.7,PN,PN,PN,PN,PN/DP,PN/DP,PN/DP,PN/DP,V2.9.7,V2.9.7,V2.9.7,V2.9.7
icsa-24-074-07_chunk_21.txt,256,,remote escalation of privilege with no additional execution privileges needed,memory leak,memory leak,memory leak,calculated; the CVSS vector string is,2022-3545 has been assigned to this vulnerability,2022-3545 has been assigned to this vulnerability,2022-3545 has been assigned to this vulnerability,additional execution privileges needed. User,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,3.2.69,3.2.69,3.2.69,3.2.69
aa21-209a_chunk_4.txt,256,,Organizations should require multi-factor authentication to remotely access networks from external sources,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,2019-19781,"6, 2021","6, 2021","6, 2021",access controls,resources,resources,resources,TRUE,TRUE,TRUE,TRUE
aa23-158a_chunk_15.txt,256,,RESOURCES Stopransomware.gov,RESOURCES Stopransomware.gov,RESOURCES Stopransomware.gov,RESOURCES Stopransomware.gov,2.R]. VALIDATE SECURITY CONTROLS In addition,2.R]. VALIDATE SECURITY CONTROLS In addition,2.R]. VALIDATE SECURITY CONTROLS In addition,2.R]. VALIDATE SECURITY CONTROLS In addition,hygiene services: Cyber Hygiene Services and Ransomware,hygiene services: Cyber Hygiene Services and Ransomware,hygiene services: Cyber Hygiene Services and Ransomware,hygiene services: Cyber Hygiene Services and Ransomware,"Ensure all backup data is encrypted, immutable (i.e., ensure backup data cannot be altered or deleted), and covers the entire organization’s data infrastructure","Ensure all backup data is encrypted, immutable (i.e., ensure backup data cannot be altered or deleted), and covers the entire organization’s data infrastructure","Ensure all backup data is encrypted, immutable (i.e., ensure backup data cannot be altered or deleted), and covers the entire organization’s data infrastructure","Ensure all backup data is encrypted, immutable (i.e., ensure backup data cannot be altered or deleted), and covers the entire organization’s data infrastructure"
icsa-23-166-10_chunk_16.txt,256,,this Notification,this Notification,this Notification,this Notification,Notification and this Privacy &,Notification and this Privacy &,Notification and this Privacy &,Notification and this Privacy &,Notification and this Privacy & Use policy. Vendor Siemens,Notification and this Privacy & Use policy. Vendor Siemens,Notification and this Privacy & Use policy. Vendor Siemens,Notification and this Privacy & Use policy. Vendor Siemens,Vendor Siemens,Vendor Siemens,Vendor Siemens,Vendor Siemens
aa22-320a_chunk_13.txt,256,,to assess how they perform,to assess how they perform,to assess how they perform,to assess how they perform,CK techniques identified in this advisory,CK techniques identified in this advisory,CK techniques identified in this advisory,CK techniques identified in this advisory,"Ngrok Revisions Initial Version: November 16, 2022 This","Ngrok Revisions Initial Version: November 16, 2022 This","Ngrok Revisions Initial Version: November 16, 2022 This","Ngrok Revisions Initial Version: November 16, 2022 This",assess how they perform against the ATT&CK techniques described in this advisory,assess how they perform against the ATT&CK techniques described in this advisory,assess how they perform against the ATT&CK techniques described in this advisory,assess how they perform against the ATT&CK techniques described in this advisory
aa23-278a_chunk_12.txt,256,,extortion of the organization or as intelligence,extortion of the organization or as intelligence,extortion of the organization or as intelligence,extortion of the organization or as intelligence,"enumerate accessible network shares in a domain.[21],[22","enumerate accessible network shares in a domain.[21],[22","enumerate accessible network shares in a domain.[21],[22","enumerate accessible network shares in a domain.[21],[22",They,They,They,They,"Actors can use commands, open source tools, or custom malware to look for shared folders and drives","Actors can use commands, open source tools, or custom malware to look for shared folders and drives","Actors can use commands, open source tools, or custom malware to look for shared folders and drives","Actors can use commands, open source tools, or custom malware to look for shared folders and drives"
aa23-061a_chunk_7.txt,256,,T1562.001,T1562.001,T1562.001,T1562.001,1021.001 The,1021.001 The,1021.001 The,1021.001 The,"techniques, and to reduce","techniques, and to reduce","techniques, and to reduce","techniques, and to reduce",Disable or Modify Tools,Disable or Modify Tools,Disable or Modify Tools,Disable or Modify Tools
ar23-243a_chunk_17.txt,256,,description,description,description,description,netd_waitloop { description =,netd_waitloop { description =,netd_waitloop { description =,netd_waitloop { description =,configuration file strings in blob rule blob_TorCommandLine,configuration file strings in blob rule blob_TorCommandLine,configuration file strings in blob rule blob_TorCommandLine,configuration file strings in blob rule blob_TorCommandLine,uint32(0) == 0x464C457F,uint32(0) == 0x464C457F,uint32(0) == 0x464C457F,uint32(0) == 0x464C457F
aa21-008a_chunk_12.txt,256,,change details,change details,change details,change details,with the same Instance ID for change details,with the same Instance ID for change details,with the same Instance ID for change details,with the same Instance ID for change details,application. Look for unexpected trust relationships that,application. Look for unexpected trust relationships that,application. Look for unexpected trust relationships that,application. Look for unexpected trust relationships that,"Review events, particularly searching","Review events, particularly searching","Review events, particularly searching","Review events, particularly searching"
aa20-245a_chunk_3.txt,256,,added to user’s authorized_keys,added to user’s authorized_keys,added to user’s authorized_keys,added to user’s authorized_keys,/or system owners are often tempted,/or system owners are often tempted,/or system owners are often tempted,/or system owners are often tempted,connections,connections,connections,connections,,,,
aa23-320a_chunk_8.txt,256,,exfiltration,exfiltration,exfiltration,exfiltration,exfiltrate data to multiple sites including U.S,exfiltrate data to multiple sites including U.S,exfiltrate data to multiple sites including U.S,exfiltrate data to multiple sites including U.S,Spider threat,Spider threat,Spider threat,Spider threat,Data from Cloud Storage T1530 Scattered Spider threat actors search data in cloud storage for collection and exfiltration,Data from Cloud Storage T1530 Scattered Spider threat actors search data in cloud storage for collection and exfiltration,Data from Cloud Storage T1530 Scattered Spider threat actors search data in cloud storage for collection and exfiltration,Data from Cloud Storage T1530 Scattered Spider threat actors search data in cloud storage for collection and exfiltration
aa20-352a_chunk_16.txt,256,,indicates whether they have been identified as having the Sunburst backdoor present,indicates whether they have been identified as having the Sunburst backdoor present,indicates whether they have been identified as having the Sunburst backdoor present,indicates whether they have been identified as having the Sunburst backdoor present,2.1 HF2 2020.,2.1 HF2 2020.,2.1 HF2 2020.,2.1 HF2 2020.,7701b410df1e309240343,7701b410df1e309240343,7701b410df1e309240343,7701b410df1e309240343,Table 1 identifies recent versions of SolarWinds Orion Platforms and indicates whether they have been identified as having the Sunburst backdoor present,TRUE,Table 1 identifies recent versions of SolarWinds Orion Platforms and indicates whether they have been identified as having the Sunburst backdoor present,TRUE
aa23-158a_chunk_12.txt,256,,allowlisting remote access programs,allowlisting remote access programs,allowlisting remote access programs,allowlisting remote access programs,2.N]. Restrict the use,2.N]. Restrict the use,2.N]. Restrict the use,2.N]. Restrict the use,"users on a case-by-case basis. Typically, only those users","users on a case-by-case basis. Typically, only those users","users on a case-by-case basis. Typically, only those users","users on a case-by-case basis. Typically, only those users",Install and execution of portable versions of unauthorized remote access and other software,Install and execution of portable versions of unauthorized remote access and other software,Install and execution of portable versions of unauthorized remote access and other software,Install and execution of portable versions of unauthorized remote access and other software
icsa-24-074-07_chunk_1.txt,256,,local information disclosure with User execution privileges needed,memory leak,memory leak,memory leak,4.9,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,This could lead to local information disclosure with User execution privileges needed. User,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,Android Versions: Android,Android ID: A-219498290 CVE-2022-20355 has been assigned to this vulnerability,Android ID: A-219498290 CVE-2022-20355 has been assigned to this vulnerability,Android ID: A-219498290 CVE-2022-20355 has been assigned to this vulnerability
icsa-24-074-07_chunk_0.txt,256,,SIMATIC mobile RFID reader products,Privacy & Use policy,SIMATIC mobile RFID reader products,SIMATIC mobile RFID reader products,Improper Restriction,CISA at this,Improper Restriction,Improper Restriction,vulnerabilities could allow an,vulnerability has been reported to CISA at this time.,vulnerabilities could allow an,vulnerabilities could allow an,Siemens reports that the following SIMATIC mobile RFID reader products are affected:,MuddyWater actors are also known to exploit unpatched vulnerabilities as part of their targeted operations,Siemens reports that the following SIMATIC mobile RFID reader products are affected:,Siemens reports that the following SIMATIC mobile RFID reader products are affected:
aa20-245a_chunk_6.txt,256,,limits their susceptibility and reduces the investigative surface to be analyzed,limits their susceptibility and reduces the investigative surface to be analyzed,limits their susceptibility and reduces the investigative surface to be analyzed,limits their susceptibility and reduces the investigative surface to be analyzed,outbound access to ports and,outbound access to ports and,outbound access to ports and,outbound access to ports and,"protocols, and services not needed for official business to prevent","protocols, and services not needed for official business to prevent","protocols, and services not needed for official business to prevent","protocols, and services not needed for official business to prevent",limits their susceptibility and reduces the investigative surface to be analyzed,limits their susceptibility and reduces the investigative surface to be analyzed,limits their susceptibility and reduces the investigative surface to be analyzed,limits their susceptibility and reduces the investigative surface to be analyzed
aa23-325a_chunk_13.txt,256,,If a potential compromise,extortion of the organization,If a potential compromise,If a potential compromise,"282-0870). State, local, tribal","enumerate accessible network shares in a domain.[21],[22","282-0870). State, local, tribal","282-0870). State, local, tribal",software development practices to limit the impact of exploitation such as threat,information on network shares,software development practices to limit the impact of exploitation such as threat,software development practices to limit the impact of exploitation such as threat,TRUE,CNMF has posted samples further detailing the different parts of MuddyWater’s new suite of tools,TRUE,TRUE
aa23-136a_chunk_6.txt,256,,to execute their tools on victim networks,ensure maximum protection against the latest threats,compromising the SAML signing certificate using their escalated Active Directory privileges,Use encrypted services to protect network communications,BianLian group actors used RDP with valid accounts as a means,"addition to a network firewall, consider installing a firewall on all computers connected","6, 2021",.g,additional information. Persistence Account Manipulation T1098 BianLian,firewall has the most,resources,interact with the victim’s environment. When interacting,"for discovery, and to execute their tools on victim networks",Network operators who identify multiple instances of the tools on the same network should investigate further as this may indicate the presence of an Iranian malicious cyber actor,"for discovery, and to execute their tools on victim networks","for discovery, and to execute their tools on victim networks"
aa21-209a_chunk_17.txt,256,,the XML code is evaulated for relevant XML commands and stings,the XML code is evaulated for relevant XML commands and stings,the XML code is evaulated for relevant XML commands and stings,the XML code is evaulated for relevant XML commands and stings,SharePoint installations should be reviewed for the presence,SharePoint installations should be reviewed for the presence,SharePoint installations should be reviewed for the presence,SharePoint installations should be reviewed for the presence,installations should be reviewed for the presence of relevant security updates,installations should be reviewed for the presence of relevant security updates,installations should be reviewed for the presence of relevant security updates,installations should be reviewed for the presence of relevant security updates,adequately sanitize user input that is received from the PickerEnitity/ValidateEnity,adequately sanitize user input that is received from the PickerEnitity/ValidateEnity,adequately sanitize user input that is received from the PickerEnitity/ValidateEnity,adequately sanitize user input that is received from the PickerEnitity/ValidateEnity
aa23-165a_chunk_9.txt,256,,Performs network scans for systems management,extortion of the organization,Performs network scans for systems management,Performs network scans for systems management,2021-22986,"enumerate accessible network shares in a domain.[21],[22",2021-22986,2021-22986,CVEs,information on network shares [T1039] that,CVEs,CVEs,SoftPerfect Network Scanner Performs network scans for systems management,SoftPerfect Network Scanner Performs network scans for systems management,SoftPerfect Network Scanner Performs network scans for systems management,SoftPerfect Network Scanner Performs network scans for systems management
icsa-23-222-07_chunk_2.txt,256,,SIMATIC S7-1500 CPU 1515F-2 PN,SIMATIC S7-1500 CPU 1515F-2 PN,SIMATIC S7-1500 CPU 1515F-2 PN,SIMATIC S7-1500 CPU 1515F-2 PN,SIMATIC S7-1500 CPU 1515TF-2 PN,SIMATIC S7-1500 CPU 1515TF-2 PN,SIMATIC S7-1500 CPU 1515TF-2 PN,SIMATIC S7-1500 CPU 1515TF-2 PN,PN/DP,PN/DP,PN/DP,PN/DP,V3.0.3 SIMATIC S7-1500 CPU 1515R-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN,V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): all versions SIMATIC S7-1500 CPU 1515-2 PN (6ES7515-2AM01-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): all versions SIMATIC S7-1500 CPU,V3.0.3 SIMATIC S7-1500 CPU 1515R-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN,V3.0.3 SIMATIC S7-1500 CPU 1515R-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN (6ES7515-2N03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1515T-2 PN
icsa-24-074-07_chunk_14.txt,256,,onReceive of BluetoothPermissionRequest,onReceive of BluetoothPermissionRequest,onReceive of BluetoothPermissionRequest,onReceive of BluetoothPermissionRequest,calculated; the CVSS vector string is,calculated; the CVSS vector string is,calculated; the CVSS vector string is,calculated; the CVSS vector string is,This could lead to local,This could lead to local,This could lead to local,This could lead to local,"MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 In onReceive of BluetoothPermissionRequest.java, a phishing attack is possible allowing a malicious Bluetooth device to acquire permissions based on insufficient information presented to the user in the consent dialog","MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 In onReceive of BluetoothPermissionRequest.java, a phishing attack is possible allowing a malicious Bluetooth device to acquire permissions based on insufficient information presented to the user in the consent dialog","MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 In onReceive of BluetoothPermissionRequest.java, a phishing attack is possible allowing a malicious Bluetooth device to acquire permissions based on insufficient information presented to the user in the consent dialog","MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 In onReceive of BluetoothPermissionRequest.java, a phishing attack is possible allowing a malicious Bluetooth device to acquire permissions based on insufficient information presented to the user in the consent dialog"
