Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_1 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_10 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_3 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_5 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_1 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_10 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_3 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_5 Docs,t5-base_q_a_512_t5-base_q_a_512_1 Docs,t5-base_q_a_512_t5-base_q_a_512_10 Docs,t5-base_q_a_512_t5-base_q_a_512_3 Docs,t5-base_q_a_512_t5-base_q_a_512_5 Docs
aa23-278a_chunk_18.txt,512,,exploit OS and firmware vulnerabilities,"vulnerability scanning, and threat intelligence collaboration",exploit OS and firmware vulnerabilities,"vulnerability scanning, and threat intelligence collaboration",&CK Techniques,.g,&CK Techniques,.g,"Table 20: ATT&CK Techniques for Enterprise – Lateral Movement Exploitation of Remote Services T1210 Malicious actors can exploit OS and firmware vulnerabilities to gain unauthorized network access, compromise sensitive data, and disrupt operations",TRUE,"Table 20: ATT&CK Techniques for Enterprise – Lateral Movement Exploitation of Remote Services T1210 Malicious actors can exploit OS and firmware vulnerabilities to gain unauthorized network access, compromise sensitive data, and disrupt operations","Table 20: ATT&CK Techniques for Enterprise – Lateral Movement Exploitation of Remote Services T1210 Malicious actors can exploit OS and firmware vulnerabilities to gain unauthorized network access, compromise sensitive data, and disrupt operations"
aa22-277a_chunk_0.txt,512,,The initial access vector is unknown,Log4Shell,The initial access vector is unknown,The initial access vector is unknown,"Bureau of Investigation (FBI), and the National Security Agency (NSA",54.217[.]2 and removed mde.ps,"Bureau of Investigation (FBI), and the National Security Agency (NSA","Bureau of Investigation (FBI), and the National Security Agency (NSA",unknown,RDP compromise,unknown,unknown
icsa-24-046-11_chunk_7.txt,512,,crashes the server,crashes the server,crashes the server,crashes the server,syslog-ng Store Box 6,syslog-ng Store Box 6,syslog-ng Store Box 6,syslog-ng Store Box 6,null pointer dereference which crashes the server,null pointer dereference which crashes the server,null pointer dereference which crashes the server,null pointer dereference which crashes the server
aa23-074a_chunk_1.txt,512,,uses encryption to secure uploaded files,uses encryption to secure uploaded files,uses encryption to secure uploaded files,uses encryption to secure uploaded files,244.71,244.71,244.71,244.71,FALSE,FALSE,FALSE,FALSE
aa23-325a_chunk_6.txt,512,,"If the keyword ""hashpasswd"" is not present","If the keyword ""hashpasswd"" is not present","If the keyword ""hashpasswd"" is not present","If the keyword ""hashpasswd"" is not present","282-0870). State, local, tribal","282-0870). State, local, tribal","282-0870). State, local, tribal","282-0870). State, local, tribal",TRUE,TRUE,TRUE,TRUE
aa23-158a_chunk_6.txt,512,,virtual private networks (VPNs) or virtual desktop interfaces (VDIs),installing new software or patches,virtual private networks (VPNs) or virtual desktop interfaces (VDIs),installing new software or patches,.e,.g,.e,.g,virtual private networks (VPNs) or virtual desktop interfaces (VDIs),virtual private networks (VPNs) or virtual desktop interfaces (VDIs),virtual private networks (VPNs) or virtual desktop interfaces (VDIs),virtual private networks (VPNs) or virtual desktop interfaces (VDIs)
aa21-356a_chunk_0.txt,512,,response recommendations,response recommendations,response recommendations,response recommendations,"NSA, ACSC,","NSA, ACSC,","NSA, ACSC,","NSA, ACSC,",TRUE,TRUE,TRUE,TRUE
aa23-059a_chunk_5.txt,512,,to reverse tunnel traffic back to the workstation,to reverse tunnel traffic back to the workstation,to reverse tunnel traffic back to the workstation,to reverse tunnel traffic back to the workstation,’s bash history file. However,’s bash history file. However,’s bash history file. However,’s bash history file. However,FALSE,FALSE,FALSE,FALSE
aa23-278a_chunk_5.txt,512,,"to gain unauthorized access, compromise sensitive data, and disrupt operations","to gain unauthorized access, compromise sensitive data, and disrupt operations","to gain unauthorized access, compromise sensitive data, and disrupt operations","to gain unauthorized access, compromise sensitive data, and disrupt operations","/or “SIM swap” techniques. These attempts, if successful","/or “SIM swap” techniques. These attempts, if successful","/or “SIM swap” techniques. These attempts, if successful","/or “SIM swap” techniques. These attempts, if successful",Organizations should prioritize patching known exploited vulnerabilities in their environments,Organizations should prioritize patching known exploited vulnerabilities in their environments,Organizations should prioritize patching known exploited vulnerabilities in their environments,Organizations should prioritize patching known exploited vulnerabilities in their environments
aa23-347a_chunk_5.txt,512,,Victim Host Information,Victim Host Information,Victim Host Information,Victim Host Information,&CK Techniques,&CK Techniques,&CK Techniques,&CK Techniques,Gather Victim Host Information: Software,Gather Victim Host Information: Software,Gather Victim Host Information: Software,Gather Victim Host Information: Software
icsa-24-046-15_chunk_12.txt,512,,to run arbitrary code outside of the limits defined in a policy,to run arbitrary code outside of the limits defined in a policy,to run arbitrary code outside of the limits defined in a policy,to run arbitrary code outside of the limits defined in a policy,6.1 prior to 6.1.2 could be susceptible,6.1 prior to 6.1.2 could be susceptible,6.1 prior to 6.1.2 could be susceptible,6.1 prior to 6.1.2 could be susceptible,run arbitrary code outside of the limits defined in a policy.json file,,run arbitrary code outside of the limits defined in a policy.json file,run arbitrary code outside of the limits defined in a policy.json file
aa24-038a_chunk_4.txt,512,,reducing their chances of detection,extortion of the organization,reducing their chances of detection,reducing their chances of detection,.e,"enumerate accessible network shares in a domain.[21],[22",.e,.e,"Similar to LOTL, Volt Typhoon actors also use legitimate but outdated versions of network admin tools",Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability,ransomware operations,ransomware operations
aa24-038a_chunk_3.txt,512,,to learn about the target organization,to learn about the target organization,to learn about the target organization,to learn about the target organization,.S,.S,.S,.S,to learn about the target organization [T1591],to learn about the target organization [T1591],to learn about the target organization [T1591],to learn about the target organization [T1591]
icsa-24-074-07_chunk_15.txt,512,,This could lead to local information disclosure with User execution privileges needed,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,3,"6, 2021","6, 2021","6, 2021","3.2.96 MISSING AUTHORIZATION CWE-862 In enqueueNotification of NetworkPolicyManagerService.java, there is a possible way to retrieve a trackable identifier due to a missing permission check","3.2.96 MISSING AUTHORIZATION CWE-862 In enqueueNotification of NetworkPolicyManagerService.java, there is a possible way to retrieve a trackable identifier due to a missing permission check","3.2.96 MISSING AUTHORIZATION CWE-862 In enqueueNotification of NetworkPolicyManagerService.java, there is a possible way to retrieve a trackable identifier due to a missing permission check","3.2.96 MISSING AUTHORIZATION CWE-862 In enqueueNotification of NetworkPolicyManagerService.java, there is a possible way to retrieve a trackable identifier due to a missing permission check"
aa23-278a_chunk_2.txt,512,,supplies a subject alternative name,supplies a subject alternative name,supplies a subject alternative name,supplies a subject alternative name,.g,.g,.g,.g,TRUE,TRUE,TRUE,TRUE
aa23-136a_chunk_9.txt,512,,allows incoming RDP traffic,allows incoming RDP traffic,allows incoming RDP traffic,allows incoming RDP traffic,netsh.dll is a malware file and not associated,netsh.dll is a malware file and not associated,netsh.dll is a malware file and not associated,netsh.dll is a malware file and not associated,allows incoming RDP traffic,allows incoming RDP traffic,allows incoming RDP traffic,allows incoming RDP traffic
icsa-24-074-11_chunk_0.txt,512,,"confidentiality, integrity, or availability of the affected products","confidentiality, integrity, or availability of the affected products","confidentiality, integrity, or availability of the affected products","confidentiality, integrity, or availability of the affected products","7.0.7, FortiOS version 7","7.0.7, FortiOS version 7","7.0.7, FortiOS version 7","7.0.7, FortiOS version 7",CISA will no longer be updating ICS security advisories for Siemens product vulnerabilities beyond the initial advisory,CISA will no longer be updating ICS security advisories for Siemens product vulnerabilities beyond the initial advisory,CISA will no longer be updating ICS security advisories for Siemens product vulnerabilities beyond the initial advisory,CISA will no longer be updating ICS security advisories for Siemens product vulnerabilities beyond the initial advisory
aa20-352a_chunk_5.txt,512,,Remove all inbound trust relationships to the SolarWinds Orion device being rebuilt,Remove all inbound trust relationships to the SolarWinds Orion device being rebuilt,Remove all inbound trust relationships to the SolarWinds Orion device being rebuilt,Remove all inbound trust relationships to the SolarWinds Orion device being rebuilt,https://documentation,https://documentation,https://documentation,https://documentation,"Category 2 organizations, after conducting appropriate forensic analysis to ensure they only have Category 2 activity, can rebuild the platform","Category 2 organizations, after conducting appropriate forensic analysis to ensure they only have Category 2 activity, can rebuild the platform","Category 2 organizations, after conducting appropriate forensic analysis to ensure they only have Category 2 activity, can rebuild the platform","Category 2 organizations, after conducting appropriate forensic analysis to ensure they only have Category 2 activity, can rebuild the platform"
aa23-075a_chunk_6.txt,512,,To aid in detecting the ransomware,To aid in detecting the ransomware,To aid in detecting the ransomware,To aid in detecting the ransomware,CPG 8,CPG 8,CPG 8,CPG 8,"To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting the ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network"
aa22-158a_chunk_5.txt,512,,Cisco recommends disabling it to reduce exposure,high attack complexity,Cisco recommends disabling it to reduce exposure,Cisco recommends disabling it to reduce exposure,WAN VPN Routers running firmware releases 1.4,CISA at this,WAN VPN Routers running firmware releases 1.4,WAN VPN Routers running firmware releases 1.4,Citrix: Mitigation Steps for CVE-2019-19781,"Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444",Citrix: Mitigation Steps for CVE-2019-19781,Citrix: Mitigation Steps for CVE-2019-19781
aa21-209a_chunk_11.txt,512,,NCSC Alert,Audit Account Usage Monitor VPN logins to look for suspicious access,NCSC Alert,Audit Account Usage Monitor VPN logins to look for suspicious access,.S,.g,.S,.g,Vulnerabilities,Top 10 Routinely Exploited Vulnerabilities,Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020,Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020
aa23-165a_chunk_3.txt,512,,Freeware and Open-Source Tools,Freeware and Open-Source Tools,Freeware and Open-Source Tools,Freeware and Open-Source Tools,’,’,’,’,Table 4 shows a list of legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations,Table 4 shows a list of legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations,Table 4 shows a list of legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations,Table 4 shows a list of legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations
aa22-277a_chunk_8.txt,512,,to display the current environment variable settings,to display the current environment variable settings,to display the current environment variable settings,to display the current environment variable settings,import-module .\vmware,import-module .\vmware,import-module .\vmware,import-module .\vmware,display the current environment variable settings,display the current environment variable settings,display the current environment variable settings,display the current environment variable settings
aa24-038a_chunk_18.txt,512,,ensure optimal performance,ensure optimal performance,ensure optimal performance,ensure optimal performance,"7, 2024","7, 2024","7, 2024","7, 2024",assess how they perform against the MITRE ATT&CK for Enterprise framework,assess how they perform against the MITRE ATT&CK for Enterprise framework,assess how they perform against the MITRE ATT&CK for Enterprise framework,assess how they perform against the MITRE ATT&CK for Enterprise framework
icsa-24-046-11_chunk_12.txt,512,,decrypt the application data exchanged over that connection,decrypt the application data exchanged over that connection,decrypt the application data exchanged over that connection,decrypt the application data exchanged over that connection,2023-0494 has been assigned to this vulnerability,2023-0494 has been assigned to this vulnerability,2023-0494 has been assigned to this vulnerability,2023-0494 has been assigned to this vulnerability,attacker would be able to decrypt the application data exchanged over that connection,attacker would be able to decrypt the application data exchanged over that connection,attacker would be able to decrypt the application data exchanged over that connection,attacker would be able to decrypt the application data exchanged over that connection
aa23-158a_chunk_0.txt,512,,Grant admin privileges and access only when necessary,those users who require access and to the minimal level of access needed,Grant admin privileges and access only when necessary,those users who require access and to the minimal level of access needed,"0P Ransomware Gang, also known",.g,"0P Ransomware Gang, also known",.g,Grant admin privileges and access only when necessary,Grant admin privileges and access only when necessary,Grant admin privileges and access only when necessary,Grant admin privileges and access only when necessary
icsa-23-222-07_chunk_1.txt,512,,SIMATIC S7-1500 CPU 1515-2 PN,SIMATIC S7-1500 CPU 1515-2 PN,SIMATIC S7-1500 CPU 1515-2 PN,SIMATIC S7-1500 CPU 1515-2 PN,2.9,2.9,2.9,2.9,versions prior to V2.9.7 SIMATIC S7-1500 CPU 1513F-1 PN (6ES7513-1FM03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP,versions prior to V2.9.7 SIMATIC S7-1500 CPU 1513F-1 PN (6ES7513-1FM03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP,versions prior to V2.9.7 SIMATIC S7-1500 CPU 1513F-1 PN (6ES7513-1FM03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP,versions prior to V2.9.7 SIMATIC S7-1500 CPU 1513F-1 PN (6ES7513-1FM03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP
aa24-109a_chunk_0.txt,512,,external-facing services,external-facing services,external-facing services,external-facing services,"range of businesses and critical infrastructure entities in North America, Europe","range of businesses and critical infrastructure entities in North America, Europe","range of businesses and critical infrastructure entities in North America, Europe","range of businesses and critical infrastructure entities in North America, Europe",External-facing services such as Remote Desktop Protocol (RDP) [T1133] [T1566.002] [T1078],Table 4: Public-Facing Application T1190 Actors exploited a known vulnerability (CVE-2022-47966) in the organization’s web server hosting Zoho ManageEngine ServiceDesk Plus,External-facing services such as Remote Desktop Protocol (RDP) [T1133] [T1566.002] [T1078],Table 4: Public-Facing Application T1190 Actors exploited a known vulnerability (CVE-2022-47966) in the organization’s web server hosting Zoho ManageEngine ServiceDesk Plus
aa22-055a_chunk_6.txt,512,,enabled persistence after reboot,extortion of the organization,enabled persistence after reboot,enabled persistence after reboot,8/1/2024 4:39,"enumerate accessible network shares in a domain.[21],[22",8/1/2024 4:39,8/1/2024 4:39,Prioritize patching known exploited vulnerabilities,This malware serves as an attack payload that runs an interactive shell,to fill the gap in the cybercriminal market leading to an influx of LockBit affiliates,This malware serves as an attack payload that runs an interactive shell
icsa-24-074-07_chunk_8.txt,512,,User interaction is not needed,User interaction is not needed,User interaction is not needed,User interaction is not needed,score of 5,score of 5,score of 5,score of 5,3.2.52 USE OF UNINITIALIZED RESOURCE CWE-787,"Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444",3.2.52 USE OF UNINITIALIZED RESOURCE CWE-787,3.2.52 USE OF UNINITIALIZED RESOURCE CWE-787
aa23-144a_chunk_7.txt,512,,to identify potentially malicious commands,to identify potentially malicious commands,to identify potentially malicious commands,to identify potentially malicious commands,subdirectories,subdirectories,subdirectories,subdirectories,TRUE,TRUE,TRUE,TRUE
ar23-243a_chunk_0.txt,512,,to enable remote access and exfiltrate information from Android phones,to enable remote access and exfiltrate information from Android phones,to enable remote access and exfiltrate information from Android phones,to enable remote access and exfiltrate information from Android phones,2P network application (td,2P network application (td,2P network application (td,2P network application (td,Infamous Chisel is a collection of components targeting Android devices,Infamous Chisel is a collection of components targeting Android devices,Infamous Chisel is a collection of components targeting Android devices,Infamous Chisel is a collection of components targeting Android devices
icsa-24-046-15_chunk_1.txt,512,,will return a failure code,will return a failure code,will return a failure code,will return a failure code,"write_bio_PKCS7_stream, SMIME_write","write_bio_PKCS7_stream, SMIME_write","write_bio_PKCS7_stream, SMIME_write","write_bio_PKCS7_stream, SMIME_write",decrypt the application data sent over that connection,decrypt the application data sent over that connection,decrypt the application data sent over that connection,decrypt the application data sent over that connection
aa23-136a_chunk_4.txt,512,,additional recommended baseline protections,will increase visibility of unauthorized use of these tools,authentication can occur outside of an organization’s known infrastructure,will increase visibility of unauthorized use of these tools,mitigations below to improve your organization’s cybersecurity posture on the basis,.g,"6, 2021",.g,Reduce threat of malicious actors using remote access tools,TRUE,to fill the gap in the cybercriminal market leading to an influx of LockBit affiliates,TRUE
icsa-24-046-11_chunk_13.txt,512,,bandwidth connection can increase the CPU usage,bandwidth connection can increase the CPU usage,bandwidth connection can increase the CPU usage,bandwidth connection can increase the CPU usage,CWE-416 A use-after-free flaw was found,CWE-416 A use-after-free flaw was found,CWE-416 A use-after-free flaw was found,CWE-416 A use-after-free flaw was found,bandwidth connection can increase the CPU usage of the server that accepts IPV6 connections up to 95%,bandwidth connection can increase the CPU usage of the server that accepts IPV6 connections up to 95%,bandwidth connection can increase the CPU usage of the server that accepts IPV6 connections up to 95%,bandwidth connection can increase the CPU usage of the server that accepts IPV6 connections up to 95%
ar23-074a_chunk_1.txt,512,,Detect portable executable samples that exfiltrate,Malicious actors,Detect portable executable samples that exfiltrate,Detect portable executable samples that exfiltrate,2E 64,"enumerate accessible network shares in a domain.[21],[22",2E 64,2E 64,exfiltrates_data,wkHPd.exe,ransomware,wkHPd.exe
aa21-008a_chunk_7.txt,512,,AppRoleAssignment_Operations_Export,AppRoleAssignment_Operations_Export,AppRoleAssignment_Operations_Export,AppRoleAssignment_Operations_Export,"15, 2021","15, 2021","15, 2021","15, 2021",AppRoleAssignment_Operations_Export,TRUE,AppRoleAssignment_Operations_Export,AppRoleAssignment_Operations_Export
aa24-038a_chunk_6.txt,512,,to analyze user authentication patterns within the network,to analyze user authentication patterns within the network,to analyze user authentication patterns within the network,to analyze user authentication patterns within the network,"’s workstation where they initially attempted, and failed,","’s workstation where they initially attempted, and failed,","’s workstation where they initially attempted, and failed,","’s workstation where they initially attempted, and failed,",to analyze user authentication patterns within the network,to analyze user authentication patterns within the network,to analyze user authentication patterns within the network,to analyze user authentication patterns within the network
icsa-23-166-11_chunk_4.txt,512,,allows a local user to gain unauthorized access to data,allows a local user to gain unauthorized access to data,allows a local user to gain unauthorized access to data,allows a local user to gain unauthorized access to data,2022-3115,2022-3115,2022-3115,2022-3115,CVE-2022-2959 has been assigned to this vulnerability. A CVSS v3 base score of 7.0 has been assigned.,CVE-2022-4662 has been assigned to this vulnerability. A CVSS v3 base score of 7.8 has been calculated.,CVE-2022-2588 has been assigned to this vulnerability. A CVSS v3 base score of 7.8 has been assigned.,CVE-2022-2588 has been assigned to this vulnerability. A CVSS v3 base score of 7.8 has been assigned.
aa23-059a_chunk_3.txt,512,,to forge the account,to forge the account,to forge the account,to forge the account,impersonate the account. If the team did,impersonate the account. If the team did,impersonate the account. If the team did,impersonate the account. If the team did,"If the team did not have the credentials, they used the golden ticket attack to forge the account","If the team did not have the credentials, they used the golden ticket attack to forge the account","If the team did not have the credentials, they used the golden ticket attack to forge the account","If the team did not have the credentials, they used the golden ticket attack to forge the account"
ar23-243a_chunk_4.txt,512,,network connectivity checks,enabling threat actors to download tools to the c:\drive without virus scans,network connectivity checks,network connectivity checks,local/prx,54.217[.]2 and removed mde.ps,local/prx,local/prx,FALSE,TRUE,FALSE,TRUE
icsa-24-074-07_chunk_13.txt,512,,could lead to local information disclosure with no additional execution privileges needed,could lead to local information disclosure with no additional execution privileges needed,could lead to local information disclosure with no additional execution privileges needed,could lead to local information disclosure with no additional execution privileges needed,Android-8,Android-8,Android-8,Android-8,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed
home-network-security_chunk_1.txt,512,,to defend against external threats,to defend against external threats,to defend against external threats,to defend against external threats,’s instruction manual or contact your ISP for specific instructions on how,"addition to a network firewall, consider installing a firewall on all computers connected",’s instruction manual or contact your ISP for specific instructions on how,’s instruction manual or contact your ISP for specific instructions on how,not be able to breach any other of your accounts,not be able to breach any other of your accounts,not be able to breach any other of your accounts,not be able to breach any other of your accounts
icsa-23-222-07_chunk_5.txt,512,,Update to V2.9.7,Privacy & Use policy,Update to V2.9.7,limiting the effectiveness of opportunistic attacks,PN,CISA at this,PN,dhs.gov (UNCLASS) CISA encourages you,Update to V3.0.3 or later SIMATIC S7-1500 CPU S7-1518-4 PN/DP ODK (6ES7518-4FP00-3AB0),TRUE,Update to V3.0.3 or later SIMATIC S7-1500 CPU S7-1518-4 PN/DP ODK (6ES7518-4FP00-3AB0),TRUE
icsa-24-074-07_chunk_21.txt,512,,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,ID: A-224536184 CVE-2022,ID: A-224536184 CVE-2022,ID: A-224536184 CVE-2022,ID: A-224536184 CVE-2022,3.2.136 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-416,3.2.136 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-416,3.2.136 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-416,3.2.136 IMPROPER RESTRICTION OF OPERATIONS WITHIN THE BOUNDS OF A MEMORY BUFFER CWE-416
aa21-209a_chunk_4.txt,512,,results the server responding with unprintable/hex characters,results the server responding with unprintable/hex characters,results the server responding with unprintable/hex characters,results the server responding with unprintable/hex characters,5.4,5.4,5.4,5.4,TRUE,TRUE,TRUE,TRUE
aa23-278a_chunk_12.txt,512,,to determine whether sensitive data,extortion of the organization,to determine whether sensitive data,to determine whether sensitive data,.g,"enumerate accessible network shares in a domain.[21],[22",.g,.g,"to determine whether sensitive data (e.g., personally identifiable information, protected health information) or credentials are stored",Obtain Capabilities: Malware T1587.001 Actors used the legitimate file/application nmap.exe to obtain information about user sessions on the ServiceDesk system,S0552 Advanced Internet Protocol (IP) Scanner Performs network scans and shows network devices,Obtain Capabilities: Malware T1587.001 Actors used the legitimate file/application nmap.exe to obtain information about user sessions on the ServiceDesk system
aa20-245a_chunk_3.txt,512,,to gain access to a network and perform malicious activities,to gain access to a network and perform malicious activities,to gain access to a network and perform malicious activities,to gain access to a network and perform malicious activities,outbound network traffic as well,outbound network traffic as well,outbound network traffic as well,outbound network traffic as well,TRUE,TRUE,TRUE,TRUE
icsa-24-074-07_chunk_1.txt,512,,7.5,7.5,7.5,7.5,2020-11301 has been assigned to this vulnerability,2020-11301 has been assigned to this vulnerability,2020-11301 has been assigned to this vulnerability,2020-11301 has been assigned to this vulnerability,"Android-10, Android-8.1, Android-9 Android ID: A-154319182","Android-10, Android-8.1, Android-9 Android ID: A-154319182","Android-10, Android-8.1, Android-9 Android ID: A-154319182","Android-10, Android-8.1, Android-9 Android ID: A-154319182"
icsa-24-074-07_chunk_0.txt,512,,User interaction is needed for exploitation,high attack complexity,User interaction is needed for exploitation,User interaction is needed for exploitation,4.9,CISA at this,4.9,4.9,Android Versions: Android,"Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444",Android Versions: Android,Android Versions: Android
aa20-245a_chunk_6.txt,512,,Audit for and disable unnecessary services,Audit for and disable unnecessary services,Audit for and disable unnecessary services,Audit for and disable unnecessary services,.g,.g,.g,.g,decommission servers running Windows Server 2003 or older versions,mapping malicious cyber activity to the MITRE ATT&CK framework,decommission servers running Windows Server 2003 or older versions,mapping malicious cyber activity to the MITRE ATT&CK framework
aa23-136a_chunk_6.txt,512,,Windows 10 and Server 2016,Windows 10 and Server 2016,Windows 10 and Server 2016,Windows 10 and Server 2016,e.g,e.g,e.g,e.g,TRUE,TRUE,TRUE,TRUE
aa23-165a_chunk_9.txt,512,,Ensure PowerShell instances are configured to use the latest version,Ensure PowerShell instances are configured to use the latest version,Ensure PowerShell instances are configured to use the latest version,Ensure PowerShell instances are configured to use the latest version,.g,.g,.g,.g,TRUE,TRUE,TRUE,TRUE
icsa-23-222-07_chunk_2.txt,512,,versions prior to V2.9.7,versions prior to V2.9.7,versions prior to V2.9.7,versions prior to V2.9.7,PN/DP,PN/DP,PN/DP,PN/DP,all versions SIMATIC S7-PLCSIM Advanced: all versions SIPLUS S7-1500 CPU 1511-1 PN,all versions SIMATIC S7-PLCSIM Advanced: all versions SIPLUS S7-1500 CPU 1511-1 PN,all versions SIMATIC S7-PLCSIM Advanced: all versions SIPLUS S7-1500 CPU 1511-1 PN,all versions SIMATIC S7-PLCSIM Advanced: all versions SIPLUS S7-1500 CPU 1511-1 PN
icsa-24-074-07_chunk_14.txt,512,,This could lead to local information disclosure with no additional execution privileges needed,This could lead to local information disclosure with no additional execution privileges needed,This could lead to local information disclosure with no additional execution privileges needed,This could lead to local information disclosure with no additional execution privileges needed,3,3,3,3,3.2.90,3.2.90,3.2.90,3.2.90
ar21-134a_chunk_5.txt,512,,Use publicly available or open-source tools,Use publicly available or open-source tools,Use publicly available or open-source tools,Use publicly available or open-source tools,.e,.e,.e,.e,TRUE,TRUE,TRUE,TRUE
aa21-209a_chunk_6.txt,512,,from version 6.7.0 before 6.12.3,from version 6.7.0 before 6.12.3,from version 6.7.0 before 6.12.3,from version 6.7.0 before 6.12.3,2017-,2017-,2017-,2017-,FALSE,FALSE,FALSE,FALSE
aa23-074a_chunk_6.txt,512,,"to prevent log rollover, increase log retention and archiving",to defend against external threats,authentication can occur outside of an organization’s known infrastructure,Use encrypted services to protect network communications,.g,"addition to a network firewall, consider installing a firewall on all computers connected","6, 2021",.g,FALSE,Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability,Enables remote control of victim’s network devices,mapping malicious cyber activity to the MITRE ATT&CK framework
ar22-277a_chunk_2.txt,512,,CovalentStealer,extortion of the organization,compromising the SAML signing certificate using their escalated Active Directory privileges,Use encrypted services,2 =,"enumerate accessible network shares in a domain.[21],[22","6, 2021",.g,a .NET executable that is used to decode a variant of the CovalentStealer malware,CISA and co-sealers recommend reviewing the ATT&CK framework for malicious cyber activity,Use of PowerShell and batch scripts,CISA and co-sealers recommend reviewing the ATT&CK framework for malicious cyber activity
home-network-security_chunk_9.txt,512,,when not needed,when not needed,when not needed,when not needed,’s website for tips on how,’s website for tips on how,’s website for tips on how,’s website for tips on how,periods when you will not need to be online,periods when you will not need to be online,periods when you will not need to be online,periods when you will not need to be online
aa23-074a_chunk_11.txt,512,,to ensure optimal performance,to ensure optimal performance,to ensure optimal performance,to ensure optimal performance,4] Bishop Fox CVE-2019,CK techniques identified in this advisory,4] Bishop Fox CVE-2019,.g,to ensure optimal performance against the MITRE ATT&CK techniques identified in this advisory,to fill the gap in the cybercriminal market leading to an influx of LockBit affiliates,to fill the gap in the cybercriminal market leading to an influx of LockBit affiliates,to fill the gap in the cybercriminal market leading to an influx of LockBit affiliates
aa23-059a_chunk_4.txt,512,,allows a user to open multiple,allows a user to open multiple,allows a user to open multiple,allows a user to open multiple,MDM API and removing Create Policy and,MDM API and removing Create Policy and,MDM API and removing Create Policy and,MDM API and removing Create Policy and,they could have accessed any hosts available to the users whose workstations were compromised,they could have accessed any hosts available to the users whose workstations were compromised,they could have accessed any hosts available to the users whose workstations were compromised,they could have accessed any hosts available to the users whose workstations were compromised
aa23-319a_chunk_8.txt,512,,Privacy & Use policy,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,15-Nov,"6, 2021","6, 2021","6, 2021",This product is provided subject to this Notification and this Privacy & Use policy,TRUE,This product is provided subject to this Notification and this Privacy & Use policy,TRUE
